,t,V,I,SOC
0,36729.04,3.869978,0.0,0.5
1,36730.03,3.869978,0.0,0.5
2,36731.03,3.870133,0.0,0.5
3,36732.03,3.869978,0.0,0.5
4,36733.03,3.870133,0.0,0.5
5,36734.03,3.869978,0.0,0.5
6,36735.03,3.869978,0.0,0.5
7,36736.02,3.869978,0.0,0.5
8,36737.02,3.870133,0.0,0.5
9,36738.02,3.869978,0.0,0.5
10,36739.02,3.870133,0.0,0.5
11,36740.05,3.870133,0.0,0.5
12,36741.05,3.869978,0.0,0.5
13,36742.04,3.869978,0.0,0.5
14,36743.05,3.870133,0.0,0.5
15,36743.05,3.843316,-0.24926,0.5
16,36744.05,3.842851,-0.25019,0.5
17,36745.05,3.842541,-0.25019,0.49998262569444446
18,36746.05,3.842386,-0.24926,0.49996525138888886
19,36747.04,3.842231,-0.24926,0.4999479416666667
20,36748.04,3.842076,-0.24926,0.4999308050416667
21,36749.04,3.841921,-0.24926,0.49991349531944446
22,36750.04,3.841921,-0.24926,0.49989618559722226
23,36751.04,3.841611,-0.24926,0.499878875875
24,36752.04,3.841611,-0.24926,0.4998615661527778
25,36753.03,3.841301,-0.24926,0.4998442564305556
26,36754.03,3.841301,-0.24926,0.4998271198055556
27,36755.03,3.841301,-0.24926,0.4998098100833334
28,36756.06,3.841146,-0.24926,0.49979250036111117
29,36757.06,3.840991,-0.24926,0.4997746713472223
30,36758.06,3.840836,-0.24926,0.4997573616250001
31,36759.06,3.840836,-0.24926,0.49974005190277787
32,36760.05,3.840526,-0.25019,0.4997227421805556
33,36761.05,3.840526,-0.24926,0.4997055416180556
34,36762.05,3.840526,-0.24926,0.49968823189583333
35,36763.05,3.840526,-0.24926,0.4996709221736111
36,36764.05,3.840371,-0.24926,0.4996536124513889
37,36765.05,3.840371,-0.24926,0.49963630272916665
38,36766.04,3.840216,-0.24926,0.49961899300694446
39,36767.04,3.840061,-0.24926,0.4996018563819445
40,36768.04,3.840061,-0.25019,0.49958454665972224
41,36769.04,3.840061,-0.24926,0.4995671723541667
42,36770.04,3.839906,-0.25019,0.49954986263194445
43,36771.07,3.839906,-0.24926,0.4995324883263889
44,36771.07,3.813399,-0.49851,0.49951465931250005
45,36772.07,3.812624,-0.49944,0.49951465931250005
46,36773.07,3.812314,-0.49944,0.4994799759791667
47,36774.07,3.812004,-0.50037,0.49944529264583337
48,36775.07,3.811849,-0.49944,0.49941054472916674
49,36776.07,3.811694,-0.49944,0.4993758613958334
50,36777.07,3.811384,-0.49944,0.49934117806250006
51,36778.06,3.811229,-0.49944,0.4993064947291667
52,36779.06,3.811074,-0.49944,0.4992721582291668
53,36780.06,3.810764,-0.49944,0.4992374748958335
54,36781.06,3.810764,-0.49944,0.49920279156250014
55,36782.06,3.810454,-0.49944,0.4991681082291668
56,36783.09,3.810299,-0.49944,0.49913342489583346
57,36783.09,3.890284,0.24926,0.4990977010625002
58,36784.09,3.891524,0.24926,0.4990977010625002
59,36785.09,3.892144,0.24926,0.49911501078472237
60,36786.09,3.892609,0.24926,0.4991323205069446
61,36787.09,3.892919,0.24926,0.4991496302291668
62,36788.09,3.893229,0.25019,0.49916693995138905
63,36789.08,3.893694,0.25019,0.4991843142569446
64,36790.08,3.893849,0.24926,0.4992015148194447
65,36791.12,3.894159,0.24926,0.49921882454166694
66,36791.12,3.867652,0.0,0.4992368266527781
67,36792.12,3.867497,0.0,0.4992368266527781
68,36793.12,3.867342,0.0,0.4992368266527781
69,36794.12,3.867342,0.0,0.4992368266527781
70,36795.11,3.867342,0.0,0.4992368266527781
71,36796.11,3.867342,0.0,0.4992368266527781
72,36797.11,3.867497,0.0,0.4992368266527781
73,36798.11,3.867497,0.0,0.4992368266527781
74,36799.11,3.867497,0.0,0.4992368266527781
75,36800.11,3.867497,0.0,0.4992368266527781
76,36801.1,3.867497,0.0,0.4992368266527781
77,36802.1,3.867652,0.0,0.4992368266527781
78,36803.1,3.867652,0.0,0.4992368266527781
79,36804.13,3.867652,0.0,0.4992368266527781
80,36805.13,3.867652,0.0,0.4992368266527781
81,36806.13,3.867808,0.0,0.4992368266527781
82,36807.13,3.867808,0.0,0.4992368266527781
83,36807.13,3.841146,-0.24833,0.4992368266527781
84,36808.13,3.840681,-0.24926,0.4992368266527781
85,36809.13,3.840371,-0.24926,0.49921951693055583
86,36810.13,3.840216,-0.24926,0.4992022072083336
87,36811.13,3.840061,-0.25019,0.4991848974861114
88,36812.13,3.839906,-0.24926,0.49916752318055585
89,36813.12,3.839751,-0.25019,0.4991502134583336
90,36814.12,3.839596,-0.24926,0.4991330128958335
91,36815.12,3.839441,-0.25019,0.4991157031736113
92,36816.12,3.839441,-0.24926,0.4990983288680557
93,36817.12,3.839441,-0.24926,0.4990810191458335
94,36818.12,3.839286,-0.24926,0.4990637094236113
95,36819.11,3.839286,-0.24926,0.4990463997013891
96,36820.14,3.839131,-0.24926,0.4990292630763891
97,36821.14,3.839131,-0.24926,0.49901143406250026
98,36822.14,3.838976,-0.24926,0.498994124340278
99,36823.14,3.838976,-0.24926,0.4989768146180558
100,36824.14,3.838821,-0.24926,0.49895950489583357
101,36825.14,3.838821,-0.24926,0.4989421951736113
102,36826.13,3.838666,-0.24926,0.49892488545138913
103,36827.13,3.838666,-0.24926,0.49890774882638916
104,36828.13,3.838666,-0.24926,0.4988904391041669
105,36829.13,3.838511,-0.24926,0.4988731293819447
106,36830.13,3.838511,-0.25019,0.4988558196597225
107,36831.16,3.838511,-0.24926,0.49883844535416694
108,36831.16,3.811849,-0.49944,0.49882061634027797
109,36832.16,3.811229,-0.49944,0.49882061634027797
110,36833.16,3.810919,-0.50037,0.4987859330069446
111,36834.16,3.810764,-0.49944,0.49875118509027794
112,36835.16,3.810609,-0.49944,0.4987165017569446
113,36836.16,3.810299,-0.49944,0.49868181842361126
114,36837.15,3.809989,-0.49944,0.49864713509027797
115,36838.15,3.809834,-0.50037,0.498612798590278
116,36839.15,3.809679,-0.50037,0.49857805067361133
117,36840.15,3.809679,-0.49944,0.4985433027569447
118,36841.15,3.809369,-0.49944,0.49850861942361135
119,36842.15,3.809214,-0.49944,0.498473936090278
120,36843.18,3.809059,-0.49944,0.4984392527569447
121,36843.18,3.888889,0.24833,0.4984035289236114
122,36844.18,3.890284,0.24926,0.4984035289236114
123,36845.18,3.890904,0.24926,0.4984208386458336
124,36846.18,3.891369,0.24926,0.49843814836805583
125,36847.18,3.891679,0.24926,0.4984554580902781
126,36848.18,3.891989,0.25019,0.4984727678125003
127,36849.17,3.892299,0.24926,0.4984901421180558
128,36850.17,3.892454,0.24926,0.4985072787430558
129,36851.21,3.892919,0.24926,0.49852458846527803
130,36851.21,3.866412,0.0,0.49854259057638917
131,36852.21,3.866257,0.0,0.49854259057638917
132,36853.21,3.866102,0.0,0.49854259057638917
133,36854.2,3.866102,0.0,0.49854259057638917
134,36855.2,3.866257,0.0,0.49854259057638917
135,36856.2,3.866257,0.0,0.49854259057638917
136,36857.2,3.866257,0.0,0.49854259057638917
137,36858.2,3.866257,0.0,0.49854259057638917
138,36859.2,3.866412,0.0,0.49854259057638917
139,36860.19,3.866412,0.0,0.49854259057638917
140,36861.19,3.866412,0.0,0.49854259057638917
141,36862.19,3.866412,0.0,0.49854259057638917
142,36863.19,3.866412,0.0,0.49854259057638917
143,36864.22,3.866567,0.0,0.49854259057638917
144,36865.22,3.866567,0.0,0.49854259057638917
145,36866.22,3.866723,0.0,0.49854259057638917
146,36867.22,3.866723,0.0,0.49854259057638917
147,36867.22,3.839906,-0.24926,0.49854259057638917
148,36868.22,3.839596,-0.24926,0.49854259057638917
149,36869.22,3.839286,-0.24926,0.4985252808541669
150,36870.22,3.839131,-0.24926,0.4985079711319447
151,36871.22,3.838976,-0.24926,0.4984906614097225
152,36872.21,3.838976,-0.24926,0.49847335168750023
153,36873.21,3.838821,-0.24926,0.4984562150625003
154,36874.21,3.838666,-0.24926,0.49843890534027807
155,36875.21,3.838511,-0.24926,0.4984215956180558
