,V,I,SOC
0,3.710783,0.0,0.500478
1,3.710783,0.0,0.500478
2,3.710783,0.0,0.500478
3,3.710783,0.0,0.500478
4,3.710783,0.0,0.500478
5,3.710783,0.0,0.500478
6,3.710783,0.0,0.500478
7,3.710783,0.0,0.500478
8,3.710783,0.0,0.500478
9,3.710783,0.0,0.500478
10,3.710783,0.0,0.500478
11,3.710783,0.0,0.500478
12,3.710783,0.0,0.500478
13,3.710783,0.0,0.500478
14,3.710783,0.0,0.500478
15,3.710783,0.0,0.500478
16,3.693111,-0.62407,0.500478
17,3.691406,-0.62407,0.500478
18,3.690321,-0.62407,0.5004433299861718
19,3.689546,-0.62407,0.50040865970148
20,3.688926,-0.62407,0.5003739861664235
21,3.688306,-0.62314,0.5003393158817317
22,3.687686,-0.625,0.5003046969928429
23,3.687221,-0.62407,0.5002699750418881
24,3.686756,-0.62407,0.5002356522753428
25,3.686291,-0.62407,0.500200981990651
26,3.685826,-0.62407,0.5001663117059592
27,3.685361,-0.62407,0.5001316411504035
28,3.685051,-0.62407,0.5000969708657118
29,3.684741,-0.62407,0.50006230058102
30,3.684276,-0.62407,0.5000265877418879
31,3.683966,-0.625,0.49999226497534294
32,3.683656,-0.62407,0.499957543024388
33,3.683346,-0.62407,0.4999228727396961
34,3.683036,-0.62407,0.49988820245500437
35,3.682726,-0.62407,0.4998535318994488
36,3.682571,-0.625,0.4998188616147569
37,3.682261,-0.625,0.4997844847158854
38,3.681951,-0.62407,0.49974976249366315
39,3.681641,-0.62407,0.49971509220897126
40,3.681486,-0.62407,0.49968042219514325
41,3.681176,-0.62407,0.49964575191045135
42,3.68102,-0.62407,0.4996110813548958
43,3.680711,-0.62407,0.49957675560884984
44,3.680556,-0.62407,0.499542085324158
45,3.662884,-1.24814,0.4995063754645269
46,3.661024,-1.24907,0.4995063754645269
47,3.659784,-1.25,0.49943628767470916
48,3.658854,-1.24907,0.4993668437727994
49,3.657924,-1.25,0.49929814654919263
50,3.657149,-1.24907,0.49922870318981777
51,3.656374,-1.24907,0.4991593104120399
52,3.655754,-1.24814,0.4990899181763931
53,3.655134,-1.24907,0.49902057760700946
54,3.654514,-1.24907,0.49895118482923184
55,3.653894,-1.24907,0.4988824821843142
56,3.653274,-1.24907,0.49881308994866735
57,3.652809,-1.24907,0.49874369771302085
58,3.705512,0.62221,0.49867222423617186
59,3.710007,0.62407,0.49867222423617186
60,3.712488,0.625,0.49870724176814657
61,3.714348,0.625,0.4987416156830772
62,3.715898,0.62407,0.498776337634032
63,3.717293,0.62407,0.4988110111690885
64,3.718533,0.62407,0.49884568172464405
65,3.719618,0.62407,0.49888035200933595
66,3.720703,0.625,0.49891502202316396
67,3.703032,0.0,0.49895078509825075
68,3.702412,0.0,0.49895078509825075
69,3.702257,0.0,0.49895078509825075
70,3.702257,0.0,0.49895078509825075
71,3.702257,0.0,0.49895078509825075
72,3.702412,0.0,0.49895078509825075
