,t,V,I,SOC
0,36603.55,3.868582,0.0,0.5
1,36604.54,3.868582,0.0,0.5
2,36605.54,3.868582,0.0,0.5
3,36606.54,3.868582,0.0,0.5
4,36607.53,3.868582,0.0,0.5
5,36608.52,3.868582,0.0,0.5
6,36609.55,3.868582,0.0,0.5
7,36610.54,3.868582,0.0,0.5
8,36611.53,3.868582,0.0,0.5
9,36612.55,3.868582,0.0,0.5
10,36613.55,3.868582,0.0,0.5
11,36614.54,3.868582,0.0,0.5
12,36615.54,3.868582,0.0,0.5
13,36616.54,3.868582,0.0,0.5
14,36617.53,3.868582,0.0,0.5
15,36618.55,3.868582,0.0,0.5
16,36619.52,3.868582,0.0,0.5
17,36620.55,3.868582,0.0,0.5
18,36621.56,3.868582,0.0,0.5
19,36621.56,3.817274,-0.47898,0.5
20,36622.58,3.816344,-0.47991,0.5
21,36622.58,3.816654,-0.4734,0.4999660063749999
22,36623.58,3.816654,-0.47247,0.4999660063749999
23,36623.58,3.785497,-0.76544,0.4999331959583332
24,36624.59,3.784257,-0.76637,0.4999331959583332
25,36624.59,3.766276,-0.93564,0.4998794436180557
26,36625.62,3.765036,-0.93564,0.4998794436180557
27,36625.62,3.752015,-1.05748,0.4998125193680553
28,36626.64,3.75093,-1.05748,0.4998125193680553
29,36626.64,3.738839,-1.16908,0.4997376145347222
30,36627.65,3.737599,-1.16908,0.4997376145347222
31,36627.65,3.828745,-0.31901,0.4996556165624998
32,36628.67,3.829985,-0.31808,0.4996556165624998
33,36628.67,3.814174,-0.46503,0.4996330858958332
34,36629.68,3.814174,-0.46503,0.4996330858958332
35,36629.68,3.715588,-1.38765,0.4996004692083332
36,36630.69,3.712643,-1.39137,0.4996004692083332
37,36630.69,3.791078,-0.65941,0.4995028800624996
38,36631.71,3.791853,-0.65755,0.4995028800624996
39,36631.71,3.805339,-0.53199,0.49945630360416643
40,36632.72,3.805494,-0.53106,0.49945630360416643
41,36632.72,3.837736,-0.22972,0.49941905564583305
42,36633.74,3.838201,-0.22972,0.49941905564583305
43,36633.74,3.867497,0.04278,0.49940278381249975
44,36634.75,3.868118,0.04185,0.49940278381249975
45,36634.75,3.872923,0.0865,0.49940571912499976
46,36635.74,3.873543,0.08743,0.49940571912499976
47,36636.78,3.873853,0.08743,0.4994117299374997
48,36636.78,3.871218,0.06231,0.49941804432638864
49,36637.81,3.871528,0.06231,0.49941804432638864
50,36637.81,3.873698,0.08278,0.499422501222222
51,36638.82,3.873853,0.08278,0.499422501222222
52,36638.82,3.925781,0.57199,0.4994283073194442
53,36639.85,3.927331,0.57478,0.4994283073194442
54,36639.85,3.904545,0.35993,0.4994694200555553
55,36640.88,3.9047,0.359,0.4994694200555553
56,36640.88,3.856802,-0.09022,0.49949509852777746
57,36641.89,3.856337,-0.09022,0.49949509852777746
58,36641.89,3.841301,-0.22972,0.4994887705972219
59,36642.92,3.840991,-0.22972,0.4994887705972219
60,36642.92,3.840371,-0.23438,0.4994723392361108
61,36643.94,3.840216,-0.23438,0.4994723392361108
62,36643.94,3.83293,-0.3032,0.49945573731944404
63,36644.96,3.83262,-0.30413,0.49945573731944404
64,36644.96,3.800843,-0.60082,0.49943419477777745
65,36645.99,3.799913,-0.60175,0.49943419477777745
66,36645.99,3.75682,-1.00632,0.49939115293749975
67,36647.02,3.75527,-1.00632,0.49939115293749975
68,36647.02,3.74349,-1.11514,0.49931917310416646
69,36648.04,3.742404,-1.11514,0.49931917310416646
70,36648.04,3.751705,-1.02679,0.4992401840208328
71,36649.05,3.751085,-1.02679,0.4992401840208328
72,36649.05,3.832,-0.27158,0.4991681661111105
73,36650.06,3.833085,-0.26972,0.4991681661111105
74,36650.06,3.858972,-0.0279,0.49914924824999946
75,36651.08,3.859902,-0.02697,0.49914924824999946
76,36651.08,3.852617,-0.09487,0.49914733787499943
77,36652.08,3.852926,-0.09487,0.49914733787499943
78,36652.08,3.893539,0.28646,0.499140749680555
79,36653.09,3.894779,0.28739,0.499140749680555
80,36653.09,3.921131,0.53571,0.49916090689583265
81,36654.11,3.922216,0.53664,0.49916090689583265
82,36654.11,3.90439,0.36737,0.49919891889583284
83,36655.13,3.904545,0.36644,0.49919891889583284
84,36655.13,3.887649,0.2074,0.4992248750624994
85,36656.16,3.887494,0.20647,0.4992248750624994
86,36656.16,3.855097,-0.09766,0.49923964340277727
87,36657.17,3.854632,-0.09859,0.49923964340277727
88,36657.17,3.770461,-0.88635,0.49923272840972177
89,36658.18,3.768601,-0.88728,0.49923272840972177
90,36658.18,3.7469,-1.0891,0.4991704955763883
91,36659.2,3.745505,-1.09003,0.4991704955763883
92,36659.2,3.750465,-1.04167,0.49909328511805523
93,36660.23,3.74969,-1.04167,0.49909328511805523
94,36660.23,3.74907,-1.04353,0.499018776777777
95,36661.26,3.747675,-1.0519,0.499018776777777
96,36661.26,3.778522,-0.76451,0.49894353670833264
97,36662.27,3.778677,-0.76451,0.49894353670833264
98,36662.27,3.814329,-0.43155,0.49888991482638845
99,36663.28,3.814794,-0.42969,0.49888991482638845
100,36663.28,3.82146,-0.3683,0.4988597768472217
101,36664.29,3.821769,-0.3683,0.4988597768472217
102,36664.29,3.83262,-0.26507,0.4988339446944439
103,36665.3,3.83293,-0.26507,0.4988339446944439
104,36665.3,3.865482,0.0372,0.49881535297916607
105,36666.33,3.866102,0.0372,0.49881535297916607
106,36666.33,3.850291,-0.11068,0.4988180138124994
107,36667.36,3.850291,-0.11068,0.4988180138124994
108,36667.36,3.83045,-0.29762,0.49881009711805496
109,36668.37,3.83014,-0.29762,0.49881009711805496
110,36668.37,3.83386,-0.26228,0.49878922238194384
111,36669.38,3.834015,-0.26228,0.49878922238194384
112,36669.38,3.849671,-0.11254,0.49877082635416614
113,36670.39,3.850137,-0.11254,0.49877082635416614
114,36670.39,3.850446,-0.11068,0.49876293292361057
115,36671.4,3.850446,-0.11161,0.49876293292361057
116,36671.4,3.842541,-0.18601,0.4987551047222217
117,36672.41,3.842386,-0.18601,0.4987551047222217
118,36672.41,3.808284,-0.50688,0.4987420581874994
119,36673.42,3.807664,-0.50781,0.4987420581874994
120,36673.42,3.806424,-0.51804,0.49870644095833294
121,36674.45,3.805959,-0.51804,0.49870644095833294
122,36674.45,3.831845,-0.27623,0.498669386708333
123,36675.45,3.832,-0.2753,0.498669386708333
124,36675.45,3.875403,0.12928,0.49865026865277745
125,36676.47,3.876178,0.12928,0.49865026865277745
126,36676.47,3.869513,0.06603,0.4986594259861108
127,36677.51,3.869668,0.0651,0.4986594259861108
128,36677.51,3.834635,-0.26321,0.49866412765277746
129,36678.52,3.83386,-0.26507,0.49866412765277746
130,36678.52,3.814639,-0.44736,0.4986455359374998
131,36679.53,3.814019,-0.44736,0.4986455359374998
132,36679.53,3.798053,-0.59803,0.4986141586041664
133,36680.53,3.797278,-0.59989,0.4986141586041664
134,36680.53,3.839286,-0.20461,0.4985724995763886
135,36681.54,3.839906,-0.20368,0.4985724995763886
136,36681.54,3.872458,0.09952,0.4985582136874997
137,36682.56,3.872923,0.09952,0.4985582136874997
138,36682.56,3.813244,-0.46131,0.498565263020833
139,36683.59,3.812314,-0.46224,0.498565263020833
140,36683.59,3.799293,-0.58408,0.49853220002083304
141,36684.61,3.798828,-0.58408,0.49853220002083304
142,36684.61,3.785187,-0.71057,0.4984908276874995
143,36685.63,3.784567,-0.71057,0.4984908276874995
144,36685.63,3.760696,-0.93285,0.49844049564583304
145,36686.64,3.759766,-0.93285,0.49844049564583304
146,36686.64,3.785032,-0.69661,0.4983750665833329
147,36687.66,3.785032,-0.69568,0.4983750665833329
148,36687.66,3.795883,-0.59431,0.4983257892499994
149,36688.69,3.796038,-0.59431,0.4983257892499994
150,36688.69,3.811229,-0.45108,0.4982832795763883
151,36689.72,3.811384,-0.45108,0.4982832795763883
152,36689.72,3.811229,-0.45108,0.49825101482638834
153,36690.75,3.810919,-0.4548,0.49825101482638834
154,36690.75,3.810454,-0.45852,0.4982184839930551
155,36691.76,3.809989,-0.46317,0.4982184839930551
156,36691.76,3.83231,-0.25484,0.49818599776388833
157,36692.77,3.83262,-0.25484,0.49818599776388833
158,36692.77,3.851066,-0.07999,0.49816812356944395
159,36693.79,3.851686,-0.07999,0.49816812356944395
160,36693.79,3.842851,-0.16462,0.4981624576111106
161,36694.79,3.842851,-0.16369,0.4981624576111106
162,36695.8,3.843006,-0.16369,0.4981510902499995
163,36695.8,3.824715,-0.33575,0.4981396092152773
164,36696.83,3.824405,-0.33575,0.4981396092152773
165,36696.83,3.802548,-0.54129,0.49811559376388836
166,36697.84,3.801928,-0.54129,0.49811559376388836
167,36697.84,3.863777,0.03627,0.4980776282847219
168,36698.85,3.864552,0.0372,0.4980776282847219
169,36698.85,3.868118,0.06975,0.4980802374513886
170,36699.87,3.868582,0.06975,0.4980802374513886
171,36699.87,3.865172,0.0372,0.49808517807638863
172,36700.89,3.865327,0.0372,0.49808517807638863
173,36700.89,3.814484,-0.43992,0.4980878130763886
174,36701.9,3.813399,-0.44178,0.4980878130763886
175,36701.9,3.796038,-0.6064,0.4980568271180552
176,36702.93,3.795263,-0.6064,0.4980568271180552
177,36702.93,3.802548,-0.53943,0.4980134526736108
178,36703.95,3.802238,-0.5385,0.4980134526736108
179,36703.95,3.818359,-0.38597,0.4979753089236109
180,36704.96,3.818514,-0.3869,0.4979753089236109
181,36704.96,3.822855,-0.34598,0.49794817218749976
182,36705.98,3.822855,-0.34598,0.49794817218749976
183,36705.98,3.841456,-0.17113,0.497923665270833
184,36707.0,3.841766,-0.17113,0.497923665270833
185,36707.0,3.867652,0.06975,0.4979115435624997
186,36708.03,3.868273,0.07068,0.4979115435624997
187,36708.03,3.872148,0.1051,0.497916599145833
188,36709.04,3.872303,0.1051,0.497916599145833
189,36709.04,3.82642,-0.32738,0.4979239707430553
190,36710.07,3.825645,-0.32831,0.4979239707430553
191,36710.07,3.812624,-0.45015,0.4979004874583331
192,36711.09,3.812159,-0.45015,0.4979004874583331
193,36711.09,3.794333,-0.61663,0.4978686018333332
194,36712.11,3.793713,-0.61756,0.4978686018333332
195,36712.11,3.792318,-0.62965,0.49782485799999965
196,36713.12,3.792008,-0.62965,0.49782485799999965
197,36713.12,3.785342,-0.69289,0.49778069504861067
198,36714.13,3.784877,-0.69289,0.49778069504861067
199,36714.13,3.796968,-0.57757,0.4977320965138887
200,36715.13,3.796968,-0.57757,0.4977320965138887
201,36715.13,3.814174,-0.41667,0.49769198748611093
202,36716.15,3.814329,-0.41667,0.49769198748611093
203,36716.15,3.848431,-0.09673,0.4976624733611108
204,36717.16,3.849206,-0.09487,0.4976624733611108
205,36717.16,3.867033,0.06975,0.4976558192847219
206,36718.16,3.867652,0.07068,0.4976558192847219
207,36718.16,3.973679,1.06771,0.49766072761805524
208,36719.18,3.976315,1.06957,0.49766072761805524
209,36719.18,3.967014,0.97935,0.4977364888263883
210,36720.2,3.968099,0.97842,0.4977364888263883
211,36720.2,3.961744,0.91797,0.49780579357638816
212,36721.22,3.962363,0.91797,0.49780579357638816
213,36721.22,3.947793,0.77846,0.49787081645138836
214,36722.23,3.948103,0.77846,0.49787081645138836
215,36722.23,3.931672,0.62314,0.49792541677083296
216,36723.24,3.931672,0.62221,0.49792541677083296
217,36723.24,3.914465,0.45852,0.4979690578888883
218,36724.26,3.914155,0.45759,0.4979690578888883
219,36724.26,3.865637,0.0,0.4980014705138884
220,36725.26,3.864862,0.0,0.4980014705138884
221,36726.26,3.864707,0.0,0.4980014705138884
222,36727.26,3.864552,0.0,0.4980014705138884
223,36728.26,3.864552,0.0,0.4980014705138884
224,36729.25,3.864397,0.0,0.49800147051388843
225,36730.27,3.864397,0.0,0.49800147051388843
226,36731.27,3.864397,0.0,0.49800147051388843
227,36732.26,3.864397,0.0,0.49800147051388843
228,36733.26,3.864397,0.0,0.49800147051388843
229,36734.26,3.864397,0.0,0.49800147051388843
230,36735.24,3.864552,0.0,0.49800147051388843
231,36736.24,3.864552,0.0,0.49800147051388843
232,36737.24,3.864552,0.0,0.49800147051388843
233,36738.26,3.864552,0.0,0.49800147051388843
234,36739.25,3.864552,0.0,0.49800147051388843
235,36740.26,3.864552,0.0,0.49800147051388843
236,36741.25,3.864552,0.0,0.49800147051388843
237,36742.24,3.864552,0.0,0.49800147051388843
238,36743.27,3.864707,0.0,0.49800147051388843
239,36744.27,3.864707,0.0,0.49800147051388843
240,36745.25,3.864707,0.0,0.49800147051388843
241,36746.25,3.864707,0.0,0.49800147051388843
242,36747.25,3.864707,0.0,0.49800147051388843
243,36748.25,3.864862,0.0,0.49800147051388843
244,36749.24,3.864862,0.0,0.49800147051388843
245,36750.26,3.864862,0.0,0.49800147051388843
246,36751.27,3.864862,0.0,0.49800147051388843
247,36752.27,3.864862,0.0,0.49800147051388843
248,36753.26,3.864862,0.0,0.49800147051388843
249,36754.25,3.865017,0.0,0.49800147051388843
250,36755.25,3.865017,0.0,0.49800147051388843
251,36756.25,3.865017,0.0,0.49800147051388843
252,36757.24,3.865017,0.0,0.49800147051388843
253,36758.26,3.865017,0.0,0.49800147051388843
254,36759.27,3.865017,0.0,0.49800147051388843
255,36760.27,3.865017,0.0,0.49800147051388843
256,36761.27,3.865017,0.0,0.49800147051388843
257,36762.27,3.865172,0.0,0.49800147051388843
258,36763.26,3.865172,0.0,0.49800147051388843
259,36764.26,3.865172,0.0,0.49800147051388843
260,36765.26,3.865172,0.0,0.49800147051388843
261,36766.26,3.865172,0.0,0.49800147051388843
262,36766.26,3.809214,-0.52455,0.49800147051388843
263,36767.29,3.808129,-0.52548,0.49800147051388843
264,36767.29,3.786892,-0.72359,0.4979638840972218
265,36768.31,3.785962,-0.72359,0.4979638840972218
266,36768.31,3.765036,-0.91797,0.4979126298055553
267,36769.33,3.764106,-0.91797,0.4979126298055553
268,36769.33,3.740234,-1.14025,0.497847606930555
269,36770.34,3.738684,-1.14118,0.497847606930555
270,36770.34,3.707527,-1.43136,0.4977675658333332
271,36771.35,3.705512,-1.43322,0.4977675658333332
272,36771.35,3.679471,-1.67225,0.4976670413749997
273,36772.39,3.677455,-1.67225,0.4976670413749997
274,36772.39,3.700087,-1.46205,0.49754626776388844
275,36773.41,3.699467,-1.46205,0.49754626776388844
276,36773.41,3.704582,-1.41183,0.49744270588888806
277,36774.43,3.703962,-1.41183,0.49744270588888806
278,36774.43,3.735584,-1.11886,0.49734270126388835
279,36775.43,3.735739,-1.11793,0.49734270126388835
280,36775.43,3.790613,-0.61012,0.4972650672361106
281,36776.45,3.791388,-0.60919,0.4972650672361106
282,36776.45,3.871683,0.13579,0.4972219162777774
283,36777.46,3.873078,0.13579,0.4972219162777774
284,36777.46,3.868738,0.09301,0.4972314404374996
285,36778.48,3.869203,0.09301,0.4972314404374996
286,36778.48,3.863312,0.0372,0.497238028645833
287,36779.49,3.863777,0.03813,0.497238028645833
288,36779.49,3.820065,-0.37016,0.4972407030416663
289,36780.53,3.819444,-0.37202,0.4972407030416663
290,36780.53,3.826265,-0.30878,0.49721383493055515
291,36781.55,3.826265,-0.30785,0.49721383493055515
292,36781.55,3.82611,-0.30878,0.4971920288888884
293,36782.56,3.825955,-0.31064,0.4971920288888884
294,36782.56,3.810609,-0.4548,0.49717024094444406
295,36783.59,3.810454,-0.4548,0.49717024094444406
296,36783.59,3.743955,-1.07515,0.4971377101111108
297,36784.61,3.742404,-1.07515,0.4971377101111108
298,36784.61,3.872303,0.13672,0.49706155365277715
299,36785.63,3.874008,0.13858,0.49706155365277715
300,36785.63,3.934307,0.70313,0.49707136973611044
301,36786.63,3.936012,0.70313,0.49707136973611044
302,36786.63,3.894004,0.30692,0.4971201982083327
303,36787.64,3.893849,0.30506,0.4971201982083327
304,36787.64,3.947173,0.80543,0.49714159477777714
305,36788.68,3.948723,0.80636,0.49714159477777714
306,36788.68,3.90005,0.3497,0.49719983188888833
307,36789.69,3.899894,0.3497,0.49719983188888833
308,36789.69,3.868428,0.05301,0.4972243594583328
309,36790.71,3.867963,0.05208,0.4972243594583328
310,36790.71,3.807974,-0.50967,0.4972280484583328
311,36791.72,3.806734,-0.5106,0.4972280484583328
312,36791.72,3.825025,-0.33854,0.4971922355416661
313,36792.73,3.82487,-0.33854,0.4971922355416661
314,36792.73,3.777282,-0.78311,0.4971684907222216
315,36793.75,3.776197,-0.78404,0.4971684907222216
316,36793.75,3.716673,-1.33836,0.4971129545555551
317,36794.76,3.714503,-1.33836,0.4971129545555551
318,36794.76,3.692181,-1.54297,0.49701908347222157
319,36795.77,3.690321,-1.54297,0.49701908347222157
320,36795.77,3.641028,-1.99684,0.4969108612708332
321,36796.78,3.637618,-1.99963,0.4969108612708332
322,36797.77,3.635448,-1.9987,0.49677060944444407
323,36798.76,3.633743,-1.9987,0.49663319881944434
324,36799.8,3.632037,-1.9987,0.4964957881944436
325,36799.8,3.712643,-1.26581,0.49635143763888795
326,36800.81,3.713728,-1.26488,0.49635143763888795
327,36800.81,3.633277,-1.99777,0.49626272036111063
328,36801.82,3.630797,-1.9987,0.49626272036111063
329,36801.82,3.684741,-1.50856,0.4961225337638881
