,V,I,SOC
0,3.713108,0.0,0.500478
1,3.713108,0.0,0.500478
2,3.713108,0.0,0.500478
3,3.713108,0.0,0.500478
4,3.713108,0.0,0.500478
5,3.713108,0.0,0.500478
6,3.713108,0.0,0.500478
7,3.713108,0.0,0.500478
8,3.713108,0.0,0.500478
9,3.713108,0.0,0.500478
10,3.713108,0.0,0.500478
11,3.713108,0.0,0.500478
12,3.713108,0.0,0.500478
13,3.713108,0.0,0.500478
14,3.713108,0.0,0.500478
15,3.713108,0.0,0.500478
16,3.713108,0.0,0.500478
17,3.713108,0.0,0.500478
18,3.713108,0.0,0.500478
19,3.713108,0.0,0.500478
20,3.681331,-1.20164,0.500478
21,3.67792,-1.20257,0.500478
22,3.678075,-1.18304,0.5004091878380684
23,3.67606,-1.18304,0.5004091878380684
24,3.656839,-1.91499,0.5003434633936241
25,3.652964,-1.91685,0.5003434633936241
26,3.641648,-2.34189,0.5002359059783241
27,3.637773,-2.34189,0.5002359059783241
28,3.629557,-2.64509,0.5001044968789884
29,3.625837,-2.64416,0.5001044968789884
30,3.618242,-2.92411,0.4999546680314889
31,3.614676,-2.92318,0.4999546680314889
32,3.66955,-0.79706,0.49979227041134155
33,3.672495,-0.79613,0.49979227041134155
34,3.663039,-1.1635,0.49974759798136736
35,3.662884,-1.1635,0.49974759798136736
36,3.602895,-3.47935,0.49968231219859865
37,3.596385,-3.48028,0.49968231219859865
38,3.643508,-1.64528,0.4994889633097097
39,3.644283,-1.64435,0.4994889633097097
40,3.652499,-1.32906,0.4993957799079082
41,3.653119,-1.32813,0.4993957799079082
42,3.672805,-0.57478,0.4993212622459161
43,3.67482,-0.57385,0.4993212622459161
44,3.692956,0.10696,0.4992887428339152
45,3.695902,0.10696,0.4992887428339152
46,3.699312,0.22042,0.4992948631371096
47,3.701327,0.22135,0.4992948631371096
48,3.703187,0.22042,0.4993071603593318
49,3.701637,0.15718,0.49931940581921896
50,3.702877,0.15718,0.49931940581921896
51,3.704272,0.20926,0.4993282254318839
52,3.705512,0.20833,0.4993282254318839
53,3.737754,1.43601,0.4993400313410767
54,3.742404,1.43694,0.4993400313410767
55,3.728609,0.89751,0.49942066026474824
56,3.730004,0.89658,0.49942066026474824
57,3.700707,-0.22786,0.4994714645190454
58,3.699002,-0.22693,0.4994714645190454
59,3.689856,-0.57478,0.4994586047584031
60,3.688151,-0.57571,0.4994586047584031
61,3.687686,-0.5878,0.4994266211193882
62,3.686756,-0.5878,0.4994266211193882
63,3.682106,-0.75893,0.49939363824291244
64,3.680866,-0.75986,0.49939363824291244
65,3.661334,-1.50484,0.4993510049520271
66,3.658389,-1.50577,0.4993510049520271
67,3.631882,-2.51767,0.49926735106313824
68,3.626922,-2.51767,0.49926735106313824
69,3.619482,-2.79018,0.49912607852381113
70,3.615451,-2.79018,0.49912607852381113
71,3.620722,-2.56882,0.49896951721279503
72,3.618242,-2.56975,0.49896951721279503
73,3.667225,-0.67615,0.49882675332390625
74,3.67017,-0.67615,0.49882675332390625
75,3.686446,-0.06975,0.4987888135026607
76,3.689081,-0.06882,0.4987888135026607
77,3.684741,-0.23996,0.49878495184638466
78,3.685981,-0.23903,0.49878495184638466
79,3.711402,0.7208,0.4987714074355253
80,3.715123,0.7208,0.4987714074355253
81,3.731554,1.34022,0.49881225402024754
82,3.735739,1.34115,0.49881225402024754
83,3.725199,0.9189,0.4988875091832032
84,3.726903,0.91611,0.4988875091832032
85,3.716673,0.51897,0.498938403785586
86,3.717293,0.51804,0.498938403785586
87,3.697297,-0.24554,0.49896775781167974
88,3.696057,-0.24647,0.49896775781167974
89,3.644593,-2.22005,0.49895365339476994
90,3.638238,-2.22098,0.49895365339476994
91,3.624597,-2.726,0.4988302665809595
92,3.619482,-2.72786,0.4988302665809595
93,3.622117,-2.60882,0.4986772009574702
94,3.618707,-2.60789,0.4986772009574702
95,3.617777,-2.63114,0.4985308795389843
96,3.614986,-2.63207,0.4985308795389843
97,3.633433,-1.91127,0.49838465342787314
98,3.632813,-1.91034,0.49838465342787314
99,3.654514,-1.07515,0.4982763966821704
100,3.655909,-1.07515,0.4982763966821704
101,3.659784,-0.92355,0.49821606835441423
102,3.660714,-0.92355,0.49821606835441423
103,3.667535,-0.66406,0.49816424613605487
104,3.66862,-0.66406,0.49816424613605487
105,3.688616,0.09301,0.49812735420205334
106,3.691251,0.09394,0.49812735420205334
107,3.681796,-0.2753,0.4981326772648572
108,3.682416,-0.27716,0.4981326772648572
109,3.670325,-0.74591,0.498116816591385
110,3.669705,-0.74591,0.498116816591385
111,3.67203,-0.65848,0.4980753774706862
112,3.67203,-0.65755,0.4980753774706862
113,3.681796,-0.2846,0.4980377521400438
114,3.682881,-0.28367,0.4980377521400438
115,3.683191,-0.27716,0.49802199281872017
116,3.683811,-0.27716,0.49802199281872017
117,3.67885,-0.46875,0.49800644082257417
118,3.67885,-0.46782,0.49800644082257417
119,3.657924,-1.26953,0.49797993203780866
120,3.655754,-1.27139,0.49797993203780866
121,3.654979,-1.2965,0.4979085923804343
122,3.653584,-1.2965,0.4979085923804343
123,3.66924,-0.6901,0.4978365646026564
124,3.670015,-0.68917,0.4978365646026564
125,3.689081,0.03069,0.49779789420909315
126,3.691096,0.03162,0.49779789420909315
127,3.694816,0.16369,0.49779966848359847
128,3.696367,0.16462,0.49779966848359847
129,3.67482,-0.66406,0.49780881389625475
130,3.673735,-0.66499,0.49780881389625475
131,3.661799,-1.11886,0.49777149970260465
132,3.660094,-1.11886,0.49777149970260465
133,3.650019,-1.50019,0.49770934129933214
134,3.647848,-1.49926,0.49770934129933214
135,3.67358,-0.51246,0.49762521485344635
136,3.67482,-0.51153,0.49762521485344635
137,3.689081,0.02418,0.49759622948555576
138,3.690941,0.02418,0.49759622948555576
139,3.660094,-1.15699,0.49759758627321204
140,3.657924,-1.15699,0.49759758627321204
141,3.649863,-1.46205,0.49753266527443574
142,3.648004,-1.46112,0.49753266527443574
143,3.639478,-1.77827,0.4974514919411025
144,3.637308,-1.77734,0.4974514919411025
145,3.622582,-2.33538,0.49735078140767397
146,3.619482,-2.33445,0.49735078140767397
147,3.634673,-1.73921,0.4972197907979078
148,3.634053,-1.74014,0.4972197907979078
149,3.640563,-1.48531,0.49712117908822934
150,3.640253,-1.48624,0.49712117908822934
151,3.649554,-1.12444,0.49703778322031233
152,3.650019,-1.1263,0.49703778322031233
153,3.649863,-1.13839,0.49697521148693563
154,3.649863,-1.13839,0.49697521148693563
155,3.649244,-1.15792,0.49691133367687945
156,3.649244,-1.15699,0.49691133367687945
157,3.66273,-0.63709,0.49684641870409274
158,3.66397,-0.63895,0.49684641870409274
159,3.675595,-0.20182,0.49681021015081583
160,3.677455,-0.20275,0.49681021015081583
161,3.672185,-0.41016,0.4967988334470398
162,3.672805,-0.40923,0.4967988334470398
163,3.673425,-0.41016,0.4967765542127431
164,3.662264,-0.84077,0.4967528560794097
165,3.661489,-0.84077,0.4967528560794097
166,3.648004,-1.35324,0.49670614736480034
167,3.646298,-1.35324,0.49670614736480034
168,3.684276,0.09394,0.4966302138027688
169,3.687066,0.09301,0.4966302138027688
170,3.689546,0.17671,0.49663543273758215
171,3.691251,0.17764,0.49663543273758215
172,3.689236,0.09394,0.496645301626471
173,3.690321,0.09394,0.496645301626471
174,3.659164,-1.10584,0.49665057274502133
175,3.656684,-1.10677,0.49665057274502133
176,3.645833,-1.51693,0.4965890855227991
177,3.643353,-1.51786,0.4965890855227991
178,3.647693,-1.34673,0.49650391473530797
179,3.646453,-1.34673,0.49650391473530797
180,3.656219,-0.96819,0.4964283476341233
181,3.656374,-0.96726,0.4964283476341233
182,3.659009,-0.86589,0.4963746113872741
183,3.659164,-0.86589,0.4963746113872741
184,3.67048,-0.42969,0.49632602458563363
185,3.67172,-0.42969,0.49632602458563363
186,3.687686,0.17671,0.49630191588077677
187,3.690011,0.17671,0.49630191588077677
188,3.692646,0.26507,0.496311733102999
189,3.694351,0.26414,0.496311733102999
190,3.665985,-0.82124,0.49632655440653206
191,3.664279,-0.82217,0.49632655440653206
192,3.656219,-1.1263,0.4962808782954209
193,3.654669,-1.1263,0.4962808782954209
194,3.643663,-1.54297,0.4962176798621313
195,3.641338,-1.54297,0.4962176798621313
196,3.640408,-1.57459,0.49613110009194406
197,3.638703,-1.57459,0.49613110009194406
198,3.634363,-1.73363,0.4960436235531379
199,3.632658,-1.73363,0.4960436235531379
200,3.640098,-1.44345,0.49594442440180087
201,3.639633,-1.44252,0.49594442440180087
202,3.650019,-1.04353,0.49586428440180086
203,3.650329,-1.04353,0.49586428440180086
204,3.671565,-0.23996,0.4958051487705294
205,3.67358,-0.23996,0.4958051487705294
206,3.684896,0.17671,0.4957916841400086
207,3.687221,0.17578,0.4957916841400086
208,3.75248,2.67578,0.4958015475037067
209,3.761626,2.67671,0.4958015475037067
210,3.756356,2.44885,0.49595025129128434
211,3.761471,2.44978,0.49595025129128434
212,3.757905,2.29539,0.49609043102029526
213,3.761781,2.29725,0.49609043102029526
214,3.7531,1.94847,0.49621805502322475
215,3.75527,1.9494,0.49621805502322475
216,3.74535,1.55692,0.49632743971541193
217,3.74659,1.55692,0.49632743971541193
218,3.736049,1.1449,0.4964139345952209
219,3.736204,1.1449,0.4964139345952209
220,3.706442,0.0,0.4964781776970876
221,3.703962,0.0,0.4964781776970876
222,3.702722,0.0,0.4964781776970876
223,3.701792,0.0,0.4964781776970876
224,3.701172,0.0,0.4964781776970876
225,3.700862,0.0,0.4964781776970876
226,3.700552,0.0,0.4964781776970876
227,3.700242,0.0,0.4964781776970876
228,3.700087,0.0,0.4964781776970876
229,3.700087,0.0,0.4964781776970876
230,3.699932,0.0,0.4964781776970876
231,3.699777,0.0,0.4964781776970876
232,3.699777,0.0,0.4964781776970876
233,3.699777,0.0,0.4964781776970876
234,3.699777,0.0,0.4964781776970876
235,3.699777,0.0,0.4964781776970876
236,3.699932,0.0,0.4964781776970876
237,3.699932,0.0,0.4964781776970876
238,3.699932,0.0,0.4964781776970876
239,3.699932,0.0,0.4964781776970876
240,3.700087,0.0,0.4964781776970876
241,3.700087,0.0,0.4964781776970876
242,3.700087,0.0,0.4964781776970876
243,3.700242,0.0,0.4964781776970876
244,3.700242,0.0,0.4964781776970876
245,3.700242,0.0,0.4964781776970876
246,3.700397,0.0,0.4964781776970876
247,3.700397,0.0,0.4964781776970876
248,3.700552,0.0,0.4964781776970876
