,t,V,I,SOC
0,36689.18,3.869358,0.0,0.5
1,36690.18,3.869358,0.0,0.5
2,36691.21,3.869358,0.0,0.5
3,36692.21,3.869358,0.0,0.5
4,36693.21,3.869358,0.0,0.5
5,36694.21,3.869358,0.0,0.5
6,36695.21,3.869358,0.0,0.5
7,36696.2,3.869358,0.0,0.5
8,36697.2,3.869358,0.0,0.5
9,36698.2,3.869358,0.0,0.5
10,36699.22,3.869358,0.0,0.5
11,36699.22,3.851686,-0.16276,0.5
12,36700.22,3.851377,-0.16276,0.5
13,36700.22,3.83541,-0.31529,0.4999886972222222
14,36701.23,3.83479,-0.31529,0.4999886972222222
15,36701.23,3.816344,-0.48735,0.4999665831319444
16,36702.25,3.815724,-0.48828,0.4999665831319444
17,36702.25,3.799913,-0.63616,0.4999319966319445
18,36703.26,3.799138,-0.63709,0.4999319966319445
19,36703.26,3.857577,-0.08557,0.4998873118472222
20,36704.26,3.858507,-0.08371,0.4998873118472222
21,36705.26,3.858662,-0.08464,0.49988149865277776
22,36706.26,3.858662,-0.08371,0.499875620875
23,36707.26,3.858662,-0.08464,0.49986980768055556
24,36708.26,3.858817,-0.08371,0.4998639299027777
25,36709.25,3.858817,-0.08371,0.4998581167083333
26,36710.25,3.858817,-0.08371,0.4998523616458333
27,36711.29,3.858817,-0.08371,0.4998465484513889
28,36711.29,3.898654,0.29111,0.49984050272916664
29,36712.31,3.89943,0.29111,0.49984050272916664
30,36712.31,3.891989,0.21949,0.49986112302083324
31,36713.31,3.892144,0.21949,0.49986112302083324
32,36713.31,3.884394,0.14602,0.49987636538194435
33,36714.32,3.884394,0.14602,0.49987636538194435
34,36714.32,3.876643,0.07347,0.49988660706249993
35,36715.34,3.876643,0.07254,0.49988660706249993
36,36715.34,3.869048,0.0,0.4998917453124999
37,36716.34,3.868893,0.0,0.4998917453124999
38,36717.34,3.868893,0.0,0.4998917453124999
39,36718.34,3.868893,0.0,0.4998917453124999
40,36719.34,3.868893,0.0,0.4998917453124999
41,36720.34,3.868893,0.0,0.4998917453124999
42,36721.34,3.868893,0.0,0.4998917453124999
43,36722.33,3.868893,0.0,0.4998917453124999
44,36723.33,3.868893,0.0,0.4998917453124999
45,36724.33,3.868893,0.0,0.4998917453124999
46,36725.33,3.868893,0.0,0.4998917453124999
47,36726.33,3.868893,0.0,0.4998917453124999
48,36727.33,3.868893,0.0,0.4998917453124999
49,36728.36,3.868893,0.0,0.4998917453124999
50,36729.35,3.868893,0.0,0.4998917453124999
51,36730.35,3.868893,0.0,0.4998917453124999
52,36731.35,3.868893,0.0,0.4998917453124999
53,36732.35,3.868893,0.0,0.4998917453124999
54,36733.35,3.868893,0.0,0.4998917453124999
55,36734.35,3.868893,0.0,0.4998917453124999
56,36735.34,3.868893,0.0,0.4998917453124999
57,36736.34,3.869048,0.0,0.4998917453124999
58,36737.34,3.869048,0.0,0.4998917453124999
59,36737.34,3.859747,-0.08464,0.4998917453124999
60,36738.35,3.859437,-0.08557,0.4998917453124999
61,36738.35,3.874938,0.05952,0.4998857435277777
62,36739.37,3.875248,0.05952,0.4998857435277777
63,36739.37,3.798983,-0.65476,0.4998899595277777
64,36740.38,3.797898,-0.65476,0.4998899595277777
65,36740.38,3.83045,-0.34691,0.49984403538888905
66,36741.39,3.830605,-0.34505,0.49984403538888905
67,36741.39,3.82301,-0.4176,0.4998198339652779
68,36742.39,3.822545,-0.4176,0.4998198339652779
69,36742.39,3.811694,-0.5199,0.4997908339652779
70,36743.4,3.811074,-0.5199,0.4997908339652779
71,36743.4,3.801463,-0.61105,0.4997543687569445
72,36744.4,3.800843,-0.61198,0.4997543687569445
73,36744.4,3.793713,-0.67894,0.49971187014583335
74,36745.41,3.793093,-0.67894,0.49971187014583335
75,36745.41,3.780847,-0.79427,0.49966425004861104
76,36746.42,3.780072,-0.79427,0.49966425004861104
77,36746.42,3.769841,-0.89007,0.49960854083333356
78,36747.42,3.769066,-0.89007,0.49960854083333356
79,36747.42,3.762091,-0.95424,0.4995467304166669
80,36748.43,3.761471,-0.95424,0.4995467304166669
81,36748.43,3.74752,-1.08352,0.49947980108333345
82,36749.44,3.74659,-1.08445,0.49947980108333345
83,36749.44,3.838046,-0.22693,0.49940373896527773
84,36750.44,3.839596,-0.22321,0.49940373896527773
85,36751.44,3.839906,-0.22414,0.4993882382708333
86,36752.44,3.840216,-0.22414,0.4993726729930555
87,36753.43,3.840371,-0.22321,0.49935710771527775
88,36754.43,3.840371,-0.22321,0.49934176202777775
89,36755.43,3.840526,-0.22321,0.4993262613333333
90,36756.43,3.840371,-0.22414,0.49931076063888885
91,36757.43,3.840526,-0.22321,0.4992951953611111
92,36758.43,3.840371,-0.22414,0.49927969466666666
93,36759.42,3.840526,-0.22321,0.49926412938888887
94,36760.42,3.840526,-0.22321,0.4992487837013889
