,V,I,SOC
0,3.709387,0.0,0.500482
1,3.709387,0.0,0.500482
2,3.709387,0.0,0.500482
3,3.709387,0.0,0.500482
4,3.709387,0.0,0.500482
5,3.709387,0.0,0.500482
6,3.709387,0.0,0.500482
7,3.709387,0.0,0.500482
8,3.709387,0.0,0.500482
9,3.709387,0.0,0.500482
10,3.709387,0.0,0.500482
11,3.698692,-0.4083,0.500482
12,3.697297,-0.4083,0.500482
13,3.687531,-0.78962,0.5004593168438801
14,3.685516,-0.78962,0.5004593168438801
15,3.6742,-1.22303,0.5004150093601736
16,3.67141,-1.2221,0.5004150093601736
17,3.661644,-1.59319,0.5003464349104338
18,3.658544,-1.59226,0.5003464349104338
19,3.694196,-0.21112,0.5002579767126301
20,3.695902,-0.21019,0.5002579767126301
21,3.696676,-0.21205,0.5002461836304687
22,3.697142,-0.21112,0.5002345201441838
23,3.697297,-0.21112,0.5002227914385589
24,3.697607,-0.21112,0.5002110625496698
25,3.697762,-0.20926,0.5001993337524131
26,3.697762,-0.21112,0.5001877082876821
27,3.697917,-0.21112,0.5001759793987932
28,3.722408,0.72917,0.5001638989181335
29,3.725199,0.72917,0.5001638989181335
30,3.720858,0.5506,0.5002052198173869
31,3.722098,0.5506,0.5002052198173869
32,3.717603,0.36737,0.5002361153120918
33,3.718068,0.3683,0.5002361153120918
34,3.713263,0.18229,0.5002565762633504
35,3.713418,0.18229,0.5002565762633504
36,3.708767,0.0,0.5002668049160326
37,3.708302,0.0,0.5002668049160326
38,3.708147,0.0,0.5002668049160326
39,3.708147,0.0,0.5002668049160326
40,3.707992,0.0,0.5002668049160326
41,3.707992,0.0,0.5002668049160326
42,3.707992,0.0,0.5002668049160326
43,3.707992,0.0,0.5002668049160326
44,3.707992,0.0,0.5002668049160326
45,3.707992,0.0,0.5002668049160326
46,3.707992,0.0,0.5002668049160326
47,3.707992,0.0,0.5002668049160326
48,3.708147,0.0,0.5002668049160326
49,3.708147,0.0,0.5002668049160326
50,3.708147,0.0,0.5002668049160326
51,3.708147,0.0,0.5002668049160326
52,3.708147,0.0,0.5002668049160326
53,3.708147,0.0,0.5002668049160326
54,3.708147,0.0,0.5002668049160326
55,3.708147,0.0,0.5002668049160326
56,3.708147,0.0,0.5002668049160326
57,3.708302,0.0,0.5002668049160326
58,3.708302,0.0,0.5002668049160326
59,3.702412,-0.21577,0.5002668049160326
60,3.701947,-0.21577,0.5002668049160326
61,3.711092,0.13951,0.5002546975406378
62,3.711713,0.13951,0.5002546975406378
63,3.665985,-1.63876,0.5002625257228513
64,3.660714,-1.63876,0.5002625257228513
65,3.680246,-0.86496,0.5001714842118965
66,3.679471,-0.86403,0.5001714842118965
67,3.674665,-1.04446,0.500123001778537
68,3.673115,-1.04539,0.500123001778537
69,3.66645,-1.30208,0.5000649250100431
70,3.664279,-1.30208,0.5000649250100431
71,3.658389,-1.52902,0.499991862159071
72,3.656064,-1.52902,0.499991862159071
73,3.651569,-1.69922,0.4999060664843225
74,3.649244,-1.69922,0.4999060664843225
75,3.641648,-1.98754,0.49981166537321126
76,3.639013,-1.98661,0.49981166537321126
77,3.632658,-2.22563,0.4997002022389624
78,3.629712,-2.22656,0.4997002022389624
79,3.625372,-2.38746,0.4995752655506295
80,3.622737,-2.38746,0.4995752655506295
81,3.614211,-2.71112,0.49944262992018684
82,3.611111,-2.71019,0.49944262992018684
83,3.66614,-0.56083,0.49929055579536846
84,3.669705,-0.5599,0.49929055579536846
85,3.67141,-0.56083,0.49925945048282516
86,3.672495,-0.56083,0.49922829350401876
87,3.673425,-0.56083,0.4991971365252124
88,3.67389,-0.56083,0.49916597930299006
89,3.674355,-0.5599,0.4991348223241835
90,3.674665,-0.5599,0.49910402612309845
91,3.67513,-0.5599,0.49907292056754293
92,3.675285,-0.55897,0.49904181525499947
93,3.67544,-0.5599,0.4990107618513277
94,3.675595,-0.5599,0.4989796565387844
95,3.675595,-0.5599,0.49894855098322877
96,3.675595,-0.5599,0.49891775478214384
97,3.67575,-0.55897,0.498885716788958
98,3.67575,-0.56083,0.4988546631426776
99,3.67575,-0.5599,0.49882350592045543
100,3.67575,-0.5599,0.49879240060791197
101,3.67575,-0.56083,0.4987612952953685
102,3.67575,-0.5599,0.49873013855997794
103,3.675595,-0.5599,0.49869934187286846
104,3.675595,-0.55897,0.4986682368033374
105,3.675595,-0.5599,0.49863718315705696
106,3.67544,-0.5599,0.49860607760150133
107,3.67544,-0.5599,0.49857497228895803
108,3.731554,1.60993,0.4985429342957722
109,3.738064,1.60993,0.4985429342957722
110,3.734964,1.46763,0.49863327065439167
111,3.738684,1.46763,0.49863327065439167
112,3.735119,1.31882,0.49871480501740006
113,3.737754,1.31975,0.49871480501740006
114,3.734034,1.16629,0.4987888588019051
115,3.735739,1.16629,0.4987888588019051
116,3.731864,1.00911,0.49885430214828946
117,3.732949,1.00911,0.49885430214828946
118,3.729694,0.87705,0.49891036337697436
119,3.730469,0.87705,0.49891036337697436
120,3.725353,0.67708,0.4989595760076386
121,3.725663,0.67801,0.4989595760076386
122,3.721323,0.50967,0.4989976175478815
123,3.721323,0.50967,0.4989976175478815
124,3.716828,0.3404,0.4990259323266707
125,3.716518,0.3404,0.4990259323266707
126,3.712023,0.1702,0.4990452222509762
127,3.711558,0.1702,0.4990452222509762
128,3.707217,0.0,0.4990547725837019
129,3.706442,0.0,0.4990547725837019
130,3.705822,0.0,0.4990547725837019
131,3.705512,0.0,0.4990547725837019
132,3.705202,0.0,0.4990547725837019
133,3.704892,0.0,0.4990547725837019
134,3.704737,0.0,0.4990547725837019
135,3.704582,0.0,0.4990547725837019
136,3.704582,0.0,0.4990547725837019
137,3.704427,0.0,0.4990547725837019
138,3.704427,0.0,0.4990547725837019
139,3.704427,0.0,0.4990547725837019
140,3.704272,0.0,0.4990547725837019
141,3.704272,0.0,0.4990547725837019
142,3.704272,0.0,0.4990547725837019
143,3.704272,0.0,0.4990547725837019
144,3.704272,0.0,0.4990547725837019
145,3.704272,0.0,0.4990547725837019
146,3.704272,0.0,0.4990547725837019
147,3.704272,0.0,0.4990547725837019
148,3.704272,0.0,0.4990547725837019
149,3.704272,0.0,0.4990547725837019
150,3.704272,0.0,0.4990547725837019
151,3.701172,-0.11347,0.4990547725837019
152,3.700862,-0.11347,0.4990547725837019
153,3.697762,-0.22879,0.49904840555742574
154,3.697297,-0.22786,0.49904840555742574
155,3.693731,-0.36365,0.4990356197829553
156,3.692956,-0.36458,0.4990356197829553
157,3.690321,-0.46596,0.49901536549674885
158,3.689391,-0.46503,0.49901536549674885
159,3.686291,-0.58501,0.4989892717430767
160,3.685206,-0.58315,0.4989892717430767
161,3.682106,-0.70033,0.49895655029552916
162,3.68102,-0.70033,0.49895655029552916
163,3.676835,-0.85938,0.49891686644867594
164,3.67544,-0.85938,0.49891686644867594
165,3.673115,-0.94494,0.498869123861332
166,3.67172,-0.94401,0.498869123861332
167,3.668465,-1.06771,0.49881615318215244
168,3.66707,-1.06678,0.49881615318215244
169,3.663815,-1.18955,0.4987562940450171
170,3.662264,-1.18955,0.4987562940450171
171,3.657304,-1.37463,0.49869020845020334
172,3.655599,-1.3737,0.49869020845020334
173,3.648468,-1.64342,0.4986131274244223
174,3.646298,-1.64249,0.4986131274244223
175,3.652654,-1.39044,0.4985209633468746
176,3.651569,-1.39137,0.4985209633468746
177,3.643353,-1.70759,0.49844366561743464
178,3.641338,-1.70759,0.49844366561743464
179,3.637773,-1.84152,0.4983469066309499
180,3.635913,-1.84152,0.4983469066309499
181,3.630022,-2.06194,0.49824357609834624
182,3.627852,-2.06194,0.49824357609834624
183,3.625992,-2.12426,0.49812787656402274
184,3.624132,-2.12426,0.49812787656402274
185,3.620257,-2.26563,0.49800986304156636
186,3.618242,-2.26656,0.49800986304156636
187,3.614211,-2.4135,0.49788268089031656
188,3.612196,-2.4135,0.49788268089031656
189,3.605531,-2.66648,0.49774725462859815
190,3.603051,-2.66648,0.49774725462859815
191,3.601501,-2.72228,0.4975991180081459
192,3.59933,-2.72228,0.4975991180081459
193,3.595145,-2.87853,0.49744636548950033
194,3.592975,-2.87853,0.49744636548950033
195,3.588635,-3.03943,0.4972864484055292
196,3.586465,-3.0385,0.4972864484055292
197,3.578869,-3.32682,0.49711596666355906
198,3.576234,-3.32682,0.49711596666355906
199,3.574684,-3.38077,0.49692929220902693
200,3.572359,-3.3817,0.49692929220902693
201,3.567708,-3.55469,0.4967414214545568
202,3.565383,-3.55655,0.4967414214545568
203,3.625527,-1.19141,0.49654185639505205
204,3.629402,-1.19141,0.49654185639505205
205,3.631262,-1.19141,0.4964756674677123
206,3.632348,-1.19048,0.496409478540373
207,3.633277,-1.19048,0.4963433407625952
208,3.633898,-1.19048,0.49627720350151894
209,3.634363,-1.19141,0.4962110600400259
210,3.634673,-1.18955,0.49614553455844607
211,3.634983,-1.19048,0.4960794489636327
212,3.635138,-1.19048,0.4960133117025564
213,3.635293,-1.19048,0.4959471739247786
